Name,NPC Name,Size,Type,Tags/Lair,Alignment,Environment,Challenge,XP,Source,Page,Reference,SRD,Description
Leucrotta,,Large,Monstrosity,,Chaotic Evil,"Desert, Grassland",3,700,VGM,169,VGM169,,
Mahoru,,Large,Monstrosity,,Unaligned,Underwater,3,700,TOB,281,TOB281,Y,
Manticore,,Large,Monstrosity,,Lawful Evil,"Arctic, Coastal, Grassland, Hills, Mountain",3,700,MM,213,MM213,Y,
Mbielu,,Huge,Beast,dinosaur/behemoth,Unaligned,"Grassland, Swamp, Underwater",3,700,TOB,114,TOB114,Y,
Millitaur,,Large,Monstrosity,,Neutral,Forest,3,700,TOB,288,TOB288,Y,
Mindrot Thrall,,Medium,Plant,,Neutral,Any,3,700,TOB,290,TOB290,Y,
Minotaur,,Large,Monstrosity,,Chaotic Evil,Underdark,3,700,MM,223,MM223,Y,
Mirager,,Medium,Fey,shapechanger,Neutral Evil,Desert,3,700,TOB,291,TOB291,Y,
Monolith Footman,,Large,Construct,,Unaligned,Any,3,700,TOB,295,TOB295,Y,
Mummy,,Medium,Undead,,Lawful Evil,Desert,3,700,MM,228,MM228,Y,
Neogi,,Small,Aberration,,Lawful Evil,"Hills, Underdark",3,700,VGM,180,VGM180,,
Night Scorpion,,Large,Beast,,Unaligned,"Desert, Forest, Grassland, Underdark",3,700,TOB,340,TOB340,Y,
Nightmare,,Large,Fiend,,Neutral Evil,Extraplanar (Lower Planes),3,700,MM,235,MM235,Y,
Orc Red Fang of Shargaas,,Medium,Humanoid,orc,Chaotic Evil,"Forest, Hills, Mountain, Underdark, Urban",3,700,VGM,185,VGM185,,
Owlbear,,Large,Monstrosity,,Unaligned,Forest,3,700,MM,249,MM249,Y,
Phantom Warrior,,Medium,Undead,,Any,Any,3,700,COS,235,COS235,,
Phase Spider,,Large,Monstrosity,,Unaligned,"Desert, Forest, Grassland, Hills, Underdark, Urban",3,700,MM,334,MM334,,
Pombero,,Medium,Fey,,Chaotic Neutral,Forest,3,700,TOB,313,TOB313,Y,
Prismatic Beetle Swarm,,Medium,Beast,,Unaligned,Forest,3,700,TOB,375,TOB375,Y,
Quaggoth Thonot,,Medium,Humanoid,quaggoth,Chaotic Neutral,Underdark,3,700,MM,256,MM256,,
Ravenfolk Warrior,,Medium,Humanoid,kenku,Neutral,"Forest, Hills, Urban",3,700,TOB,323,TOB323,Y,
Redcap (VGM version),,Small,Fey,,Chaotic Evil,"Forest, Hills, Swamp",3,700,VGM,188,VGM188,,
Slithering Tracker,,Medium,Ooze,,Chaotic Evil,"Underdark, Urban",3,700,VGM,191,VGM191,,
Sluagh Swarm,,Medium,Fey,,Chaotic Evil,Any,3,700,TOB,375,TOB375,Y,
Spectator,,Medium,Aberration,,Lawful Neutral,Underdark,3,700,MM,30,MM30,,A summoned variant of the beholder used as guardians.
Spire Walker,,Tiny,Fey,,Chaotic Neutral,Any,3,700,TOB,367,TOB367,Y,
Stygian Fat-Tailed Scorpion,,Tiny,Beast,,Unaligned,"Desert, Forest, Grassland, Underdark",3,700,TOB,340,TOB340,Y,
Thursir Giant,,Large,Giant,thursir giant,Neutral Evil or Lawful Evil,Any,3,700,TOB,227,TOB227,Y,
Trapper,,Large,Monstrosity,,Unaligned,Underdark,3,700,VGM,194,VGM194,,
Troglodyte Champion of Laogzed,,Medium,Humanoid,troglodyte,Chaotic Evil,Underdark,3,700,OOTA,229,OOTA229,,
Venomous Mummy,,Medium,Undead,,Lawful Evil,"Desert, Underdark",3,700,TOB,299,TOB299,Y,
Water Weird,,Large,Elemental,,Neutral,"Underdark, Urban",3,700,MM,299,MM299,,
Werewolf,,Medium,Humanoid,"human, shapechanger",Chaotic Evil,"Forest, Hills",3,700,MM,211,MM211,Y,
Wight,,Medium,Undead,,Neutral Evil,"Desert, Swamp, Underdark, Urban",3,700,MM,300,MM300,Y,
Winter Wolf,,Large,Monstrosity,,Neutral Evil,Arctic,3,700,MM,340,MM340,,
Yakfolk Warrior,,Large,Monstrosity,,Neutral Evil,,3,700,SKT,244,SKT244,,
Yeti,,Large,Monstrosity,,Chaotic Evil,Arctic,3,700,MM,305,MM305,,
Yuan-ti Malison,,Medium,Monstrosity,"shapechanger, yuan-ti",Neutral Evil,"Desert, Forest, Swamp",3,700,MM,309,MM309,,
Aaztar-Ghola,,Medium,Humanoid,,Chaotic Evil,Any,4,1100,FEF,5,FEF5,,
Accursed Defiler,,Medium,Undead,,Neutral Evil,Desert,4,1100,TOB,12,TOB12,Y,
Angler Worm,,Huge,Monstrosity,,Unaligned,Underdark,4,1100,TOB,22,TOB22,Y,
Ant Lion,,Large,Beast,,Unaligned,Desert,4,1100,FEF,11,FEF11,,
Arcanoplasm,,Large,Monstrosity,,Neutral,Underdark,4,1100,FEF,14,FEF14,,
Ash Drake,,Small,Dragon,,Neutral Evil,"Mountain, Urban",4,1100,TOB,149,TOB149,Y,
Babau,,Medium,Fiend,demon,Chaotic Evil,"Underdark, Urban",4,1100,VGM,136,VGM136,,
Banshee,,Medium,Undead,,Chaotic Evil,"Coastal, Forest",4,1100,MM,23,MM23,,The shrieking spirit of a female elf.
Barghest,,Large,Fiend,shapechanger,Neutral Evil,"Forest, Grassland, Hills, Mountain, Underdark",4,1100,VGM,123,VGM123,,
Bereginyas,,Tiny,Fey,,Neutral Evil,Mountain,4,1100,TOB,36,TOB36,Y,
Black Pudding,,Large,Ooze,,Unaligned,Underdark,4,1100,MM,241,MM241,Y,
Bone Naga,,Large,Undead,,Lawful Evil,Underdark,4,1100,MM,233,MM233,,
Carrion Beetle,,Large,Beast,,Neutral,Any,4,1100,TOB,52,TOB52,Y,
Cavelight Moss,,Large,Plant,,Neutral,Underdark,4,1100,TOB,53,TOB53,Y,
Chuul,,Large,Aberration,,Chaotic Evil,Underdark,4,1100,MM,40,MM40,Y,Terrifying crustaceans mutated by the aboleths.
Chuul Spore Servant,,Large,Plant,,Unaligned,Underdark,4,1100,OOTA,228,OOTA228,,
Couatl,,Medium,Celestial,,Lawful Good,"Desert, Forest, Grassland, Urban",4,1100,MM,43,MM43,Y,Colorful flying serpent summoned to guard ancient tombs.
Dau,,Small,Fey,,Chaotic Neutral,Desert,4,1100,TOB,70,TOB70,Y,
Death Butterfly Swarm,,Large,Beast,,Chaotic Evil,"Forest, Grassland",4,1100,TOB,71,TOB71,Y,
Deathcap Myconid,,Medium,Plant,,Neutral Evil,"Forest, Underdark",4,1100,TOB,300,TOB300,Y,
Deep One Hybrid Priest,,Medium,Humanoid,deep one,Chaotic Evil,Underwater,4,1100,TOB,73,TOB73,Y,
Derro Fetal Savant,,Tiny,Humanoid,derro,Chaotic Evil,Underdark,4,1100,TOB,92,TOB92,Y,
Domovoi,,Medium,Fey,,Chaotic Neutral,"Desert, Forest",4,1100,TOB,122,TOB122,Y,
Dorreq,,Medium,Aberration,,Neutral Evil,,4,1100,TOB,124,TOB124,Y,
Edimmu,,Medium,Undead,,Chaotic Evil,Desert,4,1100,TOB,165,TOB165,Y,
Elephant,,Huge,Beast,,Unaligned,Grassland,4,1100,MM,322,MM322,,
Ettin,,Large,Giant,,Chaotic Evil,"Hills, Mountain, Underdark",4,1100,MM,132,MM132,Y,
Firebird,,Small,Celestial,,Neutral Good,Any,4,1100,TOB,201,TOB201,Y,
Flab Giant,,Large,Giant,flab giant,Chaotic Evil,"Hills, Mountain",4,1100,TOB,223,TOB223,Y,
Flameskull,,Tiny,Undead,,Neutral Evil,Underdark,4,1100,MM,134,MM134,,
Forest Marauder,,Large,Giant,forest marauder,Chaotic Evil,Forest,4,1100,TOB,205,TOB205,Y,
Frostveil,,Medium,Plant,,Unaligned,"Grassland, Hills",4,1100,TOB,207,TOB207,Y,
Ghost,,Medium,Undead,,Any,"Underdark, Urban",4,1100,MM,147,MM147,Y,
Giant Ant Queen,,Large,Beast,,Unaligned,Any,4,1100,TOB,23,TOB23,Y,
Girallon,,Large,Monstrosity,,Unaligned,Forest,4,1100,VGM,152,VGM152,,
Gnoll Fang of Yeenoghu,,Medium,Fiend,gnoll,Chaotic Evil,"Desert, Forest, Grassland, Hills",4,1100,MM,163,MM163,,
Half-Blue Dragon Sellsword,reference Langdedrosa Cyanwrath,Medium,Humanoid,human,Lawful Evil,,4,1100,HDQ,91,HDQ91,,
Helmed Horror,,Medium,Construct,,Neutral,Urban,4,1100,MM,183,MM183,,
Hobgoblin Devastator,,Medium,Humanoid,goblinoid,Lawful Evil,"Forest, Grassland, Hills",4,1100,VGM,161,VGM161,,
Imperial Ghoul,,Medium,Undead,,Lawful Evil,Underdark,4,1100,TOB,220,TOB220,Y,
Incubus,,Medium,Fiend,shapechanger,Neutral Evil,Urban,4,1100,MM,285,MM285,Y,
Kobold Chieftain,,Small,Humanoid,kobold,Lawful Evil,"Underdark, Urban",4,1100,TOB,263,TOB263,Y,
Lamia,,Large,Monstrosity,,Chaotic Evil,Desert,4,1100,MM,201,MM201,Y,
Lemurfolk (Greyfur),,Small,Humanoid,lemurfolk,Neutral,Forest,4,1100,TOB,271,TOB271,Y,
Lich Hound,,Medium,Undead,,Neutral Evil,Any,4,1100,TOB,274,TOB274,Y,
Lizard King/Queen,,Medium,Humanoid,lizardfolk,Chaotic Evil,"Forest, Swamp",4,1100,MM,205,MM205,,
Manabane Scarab Swarm,,Medium,Beast,,Unaligned,Desert,4,1100,TOB,374,TOB374,Y,
Mngwa,,Medium,Aberration,,Neutral Evil,"Forest, Grassland",4,1100,TOB,293,TOB293,Y,
Neogi Master,,Medium,Aberration,,Lawful Evil,"Hills, Underdark",4,1100,VGM,180,VGM180,,
Nkosi Pridelord,,Medium,Humanoid,"shapechanger, nkosi",Lawful Neutral,Grassland,4,1100,TOB,306,TOB306,Y,
Oculo Swarm,,Large,Aberration,,Neutral Evil,Underdark,4,1100,TOB,309,TOB309,Y,
Orc Blade of Ilneval,,Medium,Humanoid,orc,Chaotic Evil,"Forest, Grassland, Hills, Mountain, Underdark",4,1100,VGM,183,VGM183,,
Orc War Chief,,Medium,Humanoid,orc,Chaotic Evil,"Arctic, Forest, Grassland, Hills, Mountain, Swamp, Underdark",4,1100,MM,246,MM246,,
Ostinato,,Medium,Aberration,,Chaotic Neutral,Any,4,1100,TOB,312,TOB312,Y,
Ratatosk,,Tiny,Celestial,,Chaotic Neutral,Extraplanar (Yggdrassil),4,1100,TOB,319,TOB319,Y,
Red Dragon Wyrmling,,Medium,Dragon,,Chaotic Evil,"Hills, Mountain",4,1100,MM,98,MM98,Y,
Sap Demon,,Small,Ooze,,Chaotic Evil,Forest,4,1100,TOB,335,TOB335,Y,
Selang (Dark Satyr),,Medium,Fey,,Chaotic Evil,,4,1100,TOB,341,TOB341,Y,
Serpopard,,Large,Beast,,Unaligned,"Grassland, Swamp",4,1100,TOB,342,TOB342,Y,
Shadow Demon,,Medium,Fiend,demon,Chaotic Evil,Extraplanar (Abyss),4,1100,MM,64,MM64,,
Shadow Fey Guardian,,Large,Humanoid,elf,Neutral Evil,Any,4,1100,TOB,174,TOB174,Y,
Skitterhaunt,,Large,Ooze,,Unaligned,"Desert, Underdark",4,1100,TOB,352,TOB352,Y,
Spore Monster,reference Yestabrod,Large,Monstrosity,,Chaotic Evil,Underdark,4,1100,OOTA,233,OOTA233,,
Stegosaurus (Bloodspike),,Huge,Beast,dinosaur/behemoth,Unaligned,"Forest, Grassland",4,1100,VGM,140,VGM140,,
Succubus,,Medium,Fiend,shapechanger,Neutral Evil,Urban,4,1100,MM,285,MM285,Y,
Trollkin Reaver,,Medium,Humanoid,trollkin,Neutral,Any,4,1100,TOB,390,TOB390,Y,
Tusked Skyfish,,Large,Aberration,,Lawful Good,"Grassland, Hills",4,1100,TOB,391,TOB391,Y,
Vaettir,,Medium,Undead,,Lawful Evil,Any,4,1100,TOB,395,TOB395,Y,
Water Leaper,,Large,Monstrosity,,Unaligned,Underwater,4,1100,TOB,406,TOB406,Y,
Wereboar,,Medium,Humanoid,"human, shapechanger",Neutral Evil,"Forest, Grassland, Hills",4,1100,MM,209,MM209,Y,
Weretiger,,Medium,Humanoid,"human, shapechanger",Neutral,"Desert, Forest, Grassland",4,1100,MM,210,MM210,Y,
Wharfling Swarm,,Large,Beast,,Unaligned,Underwater,4,1100,TOB,407,TOB407,Y,
Yakfolk Priest,,Large,Monstrosity,,Neutral Evil,,4,1100,SKT,245,SKT245,,
Yeth Hound,,Large,Fey,,Neutral Evil,"Forest, Grassland, Hills",4,1100,VGM,201,VGM201,,
Yuan-ti Mind Whisperer,,Medium,Monstrosity,"shapechanger, yuan-ti",Neutral Evil,"Desert, Forest, Underdark",4,1100,VGM,204,VGM204,,
Yuan-ti NIghtmare Speaker,,Medium,Monstrosity,"shapechanger, yuan-ti",Neutral Evil,"Desert, Forest, Underdark",4,1100,VGM,205,VGM205,,
Zimwi,,Medium,Giant,,Chaotic Evil,Any,4,1100,TOB,415,TOB415,Y,
Air Elemental,,Large,Elemental,,Neutral,"Desert, Mountain",5,1800,MM,124,MM124,Y,
Aridni,,Small,Fey,,Neutral Evil,Any,5,1800,TOB,26,TOB26,Y,
Artificer of Yothri,,Medium,Aberration,,Chaotic Evil,Any,5,1800,FEF,15,FEF15,,
Asanbosam,,Large,Aberration,,Chaotic Evil,Forest,5,1800,TOB,27,TOB27,Y,
Assassin Bug,,Medium,Beast,,Unaligned,Forest,5,1800,FEF,17,FEF17,,
Astral Shark,,Large,Fiend,,Neutral,Extraplanar (Astral),5,1800,FEF,19,FEF19,,
Aurumvorax (Golden Gorger),,Small,Monstrosity,,Unaligned,"Forest, Grassland, Hills",5,1800,FEF,20,FEF20,,
Banderhobb,,Large,Monstrosity,,Neutral Evil,Urban,5,1800,VGM,122,VGM122,,
Barbed Devil,,Medium,Fiend,devil,Lawful Evil,Extraplanar (Baator),5,1800,MM,70,MM70,Y,
Barlgura,,Large,Fiend,demon,Chaotic Evil,Extraplanar (Abyss),5,1800,MM,56,MM56,,
Beholder Zombie,,Large,Undead,beholder,Neutral Evil,Underdark,5,1800,MM,316,MM316,,
Bouda,,Medium,Fiend,,Neutral Evil,Extraplanar (Lower Planes),5,1800,TOB,44,TOB44,Y,"Shapechanging, gnoll-like gluttons that crave freshly killed meat."
Brontosaurus (Thunderstep),,Gargantuan,Beast,dinosaur/behemoth,Unaligned,"Forest, Grassland",5,1800,VGM,139,VGM139,,
Bulette,,Large,Monstrosity,,Unaligned,"Grassland, Hills, Mountain",5,1800,MM,34,MM34,Y,"Massive burrowing predator, nicknamed the ""land shark."""
Cambion,,Medium,Fiend,,Any evil,Urban,5,1800,MM,36,MM36,,"Half-humanoid, half-fiendish offspring of incubi and succubi."
Catoblepas (Volo's Guide to Monsters version),,Large,Monstrosity,,Unaligned,Swamp,5,1800,VGM,129,VGM129,,
Clockwork Abomination,,Large,Fiend,"devil, construct",Lawful Evil,Any,5,1800,TOB,59,TOB59,Y,
Corrupting Ooze,,Large,Ooze,,Neutral Evil,Any,5,1800,TOB,311,TOB311,Y,
Derro Shadow Antipaladin,,Small,Humanoid,derro,Chaotic Evil,Underdark,5,1800,TOB,93,TOB93,Y,
Dogmole Juggernaut,,Large,Monstrosity,,Neutral,"Hills, Mountain, Underdark",5,1800,TOB,121,TOB121,Y,
Drakon,,Large,Beast,,Unaligned,,5,1800,TOB,157,TOB157,Y,
Dream Eater,,Medium,Fiend,,Lawful Evil,"Underdark, Urban",5,1800,TOB,158,TOB158,Y,
Drow Elite Warrior,,Medium,Humanoid,elf,Neutral Evil,Underdark,5,1800,MM,128,MM128,,
Drowned Maiden,,Medium,Undead,,Neutral Evil,Underwater,5,1800,TOB,159,TOB159,Y,
Earth Elemental,,Large,Elemental,,Neutral,Underdark,5,1800,MM,124,MM124,Y,
Eleinomae,,Medium,Fey,,Chaotic Evil,Swamp,5,1800,TOB,168,TOB168,Y,
Fellforged,,Medium,Construct,undead,Lawful Evil,Any,5,1800,TOB,182,TOB182,Y,
Fidele Angel,,Medium,Celestial,,Lawful Good,Any,5,1800,TOB,21,TOB21,Y,
Fire Elemental,,Large,Elemental,,Neutral,Desert,5,1800,MM,125,MM125,Y,
Flesh Golem,,Medium,Construct,,Neutral,Urban,5,1800,MM,169,MM169,Y,
Giant Crocodile,,Huge,Beast,,Unaligned,Swamp,5,1800,MM,324,MM324,,
Giant Shark,,Huge,Beast,,Unaligned,Underwater,5,1800,MM,328,MM328,,
Gorgon,,Large,Monstrosity,,Unaligned,"Forest, Grassland, Hills",5,1800,MM,171,MM171,Y,
Greater Basilisk,,Large,Monstrosity,,Neutral Evil,Desert,5,1800,FEF,22,FEF22,,
Half-Red Dragon Veteran,,Medium,Humanoid,human,Any,Any,5,1800,MM,180,MM180,Y,
Hill Giant,,Huge,Giant,hill giant,Chaotic Evil,Hills,5,1800,MM,155,MM155,Y,
Hound of the Night,,Large,Monstrosity,,Unaligned,"Grassland, Hills, Underdark",5,1800,TOB,251,TOB251,Y,
Hulking Crab,,Huge,Beast,,Unaligned,,5,1800,SKT,240,SKT240,,
Hulking Whelp,,Small/Huge,Fey,shapechanger,Chaotic Neutral,Any,5,1800,TOB,252,TOB252,Y,
Iron Ghoul,,Medium,Undead,,Lawful Evil,Underdark,5,1800,TOB,221,TOB221,Y,
Kikimora,,Medium,Fey,,Chaotic Neutral,Urban,5,1800,TOB,260,TOB260,Y,
Kongamato,,Large,Beast,,Unaligned,"Grassland, Swamp",5,1800,TOB,265,TOB265,Y,
Lindwurm,,Large,Dragon,,Neutral Evil,"Forest, Hills",5,1800,TOB,276,TOB276,Y,
Lorelei,,Medium,Fey,,Chaotic Evil,Underwater,5,1800,TOB,279,TOB279,Y,
Mezzoloth,,Medium,Fiend,yugoloth,Neutral Evil,Extraplanar (Lower Planes),5,1800,MM,313,MM313,,
Mi-go,,Medium,Plant,,Neutral Evil,Any,5,1800,TOB,287,TOB287,Y,
Mindwitness,,Large,Aberration,,Lawful Evil,Underdark,5,1800,VGM,176,VGM176,,
Ngobou,,Large,Beast,dinosaur/behemoth,Unaligned,Grassland,5,1800,TOB,115,TOB115,Y,
Night Hag,,Medium,Fiend,,Neutral Evil,Extraplanar (Lower Planes),5,1800,MM,178,MM178,Y,
Otyugh,,Large,Aberration,,Neutral,Underdark,5,1800,MM,248,MM248,Y,
Owl Harpy,,Medium,Monstrosity,,Neutral Evil,"Desert, Forest, Urban",5,1800,TOB,246,TOB246,Y,
Rat King,,Medium,Monstrosity,,Chaotic Evil,"Underdark, Urban",5,1800,TOB,318,TOB318,Y,
Ravenala,,Large,Plant,,Unaligned,Forest,5,1800,TOB,321,TOB321,Y,
Ravenfolk Doom Croaker,,Medium,Humanoid,kenku,Neutral,"Forest, Hills, Urban",5,1800,TOB,324,TOB324,Y,
Red Slaad,,Large,Aberration,,Chaotic Neutral,Extraplanar (Limbo),5,1800,MM,276,MM276,,
Revenant,,Medium,Undead,,Neutral,"Arctic, Desert, Forest, Hills, Swamp, Urban",5,1800,MM,259,MM259,,
Rift Swine,,Large,Aberration,,Chaotic Neutral,Any,5,1800,TOB,326,TOB326,Y,
Roper,,Large,Monstrosity,,Neutral Evil,Underdark,5,1800,MM,261,MM261,Y,
Sahuagin Baron,,Large,Humanoid,sahuagin,Lawful Evil,"Coastal, Underwater",5,1800,MM,264,MM264,,
Salamander,,Large,Elemental,,Neutral Evil,Underdark,5,1800,MM,266,MM266,Y,
Sand Hag,,Medium,Monstrosity,,Chaotic Evil,Desert,5,1800,TOB,245,TOB245,Y,
Sandman,,Medium,Celestial,,Chaotic Neutral,Extraplanar (Ethereal),5,1800,TOB,333,TOB333,Y,
Sarcophagus Slime,,Medium,Undead,,Neutral Evil,Underdark,5,1800,TOB,336,TOB336,Y,
Shadow Fey Forest Hunter,,Medium,Humanoid,elf,Lawful Evil,Any,5,1800,TOB,173,TOB173,Y,
Shambling Mound,,Large,Plant,,Unaligned,"Forest, Swamp",5,1800,MM,270,MM270,Y,
Spawn of Akyishigal,,Medium,Fiend,demon,Chaotic Evil,Extraplanar (Abyss),5,1800,TOB,83,TOB83,Y,
Spawn of Arbeyach,,Medium,Aberration,,Lawful Evil,Any,5,1800,TOB,97,TOB97,Y,
Spawn of Kyuss,,Medium,Undead,,Chaotic Evil,"Desert, Underdark",5,1800,VGM,192,VGM192,,
Subek,,Large,Humanoid,subek,Lawful Neutral,Underwater,5,1800,TOB,371,TOB371,Y,
Swarm of Cranium Rats,,Medium,Beast,,Lawful Evil,"Underdark, Urban",5,1800,VGM,133,VGM133,,
Tanarukk,,Medium,Fiend,"demon, orc",Chaotic Evil,"Hills, Mountain, Underdark",5,1800,VGM,186,VGM186,,
Temple Dog,,Medium,Celestial,,Any good,Extraplanar (Upper Planes),5,1800,TOB,378,TOB378,Y,
Tlincalli (Scorpion Folk),,Large,Monstrosity,,Neutral Evil,Desert,5,1800,VGM,193,VGM193,,
Tosculi Elite Bow Raider,,Medium,Humanoid,tosculi,Lawful Evil,"Desert, Grassland, Hills",5,1800,TOB,386,TOB386,Y,
Triceratops (Tri-horn),,Huge,Beast,dinosaur/behemoth,Unaligned,Grassland,5,1800,MM,80,MM80,Y,
Troll,,Large,Giant,,Chaotic Evil,"Arctic, Forest, Hills, Mountain, Swamp, Underdark",5,1800,MM,291,MM291,Y,
Umber Hulk,,Large,Monstrosity,,Chaotic Evil,Underdark,5,1800,MM,292,MM292,,
Unicorn,,Large,Celestial,,Lawful Good,Forest,5,1800,MM,294,MM294,Y,
Vampire Spawn,,Medium,Undead,,Neutral Evil,"Underdark, Urban",5,1800,MM,298,MM298,Y,
Vapor Lynx,,Large,Monstrosity,,Chaotic Neutral,"Grassland, Swamp",5,1800,TOB,398,TOB398,Y,
Vila,,Medium,Fey,,Lawful Neutral,Forest,5,1800,TOB,400,TOB400,Y,
Water Elemental,,Large,Elemental,,Neutral,"Coastal, Swamp, Underwater",5,1800,MM,125,MM125,Y,
Werebear,,Medium,Humanoid,"human, shapechanger",Neutral Good,"Arctic, Forest, Hills",5,1800,MM,208,MM208,Y,
Wood Woad,,Medium,Plant,,Lawful Neutral,Forest,5,1800,VGM,198,VGM198,,
Wormhearted Suffragan,,Medium,Undead,,Chaotic Evil,Any,5,1800,TOB,410,TOB410,Y,
Wraith,,Medium,Undead,,Neutral Evil,Underdark,5,1800,MM,302,MM302,Y,
Xorn,,Medium,Elemental,,Neutral,Underdark,5,1800,MM,304,MM304,Y,
Young Remorhaz,,Large,Monstrosity,,Unaligned,Arctic,5,1800,MM,258,MM258,,
Young Spinosaurus (Fang Titan),,Huge,Beast,dinosaur/behemoth,Unaligned,"Forest, Swamp",5,1800,TOB,117,TOB117,Y,
Yuan-ti Pit Master,,Medium,Monstrosity,"shapechanger, yuan-ti",Neutral Evil,"Desert, Forest, Underdark",5,1800,VGM,206,VGM206,,
Zmey Headling,,Medium,Dragon,,Chaotic Evil,"Forest, Swamp",5,1800,TOB,417,TOB417,Y,
Adult Rime Worm,,Large,Elemental,,Neutral,Extraplanar (Elemental),6,2300,TOB,327,TOB327,Y,
Angatra,,Medium,Undead,,Neutral Evil,Forest,6,2300,TOB,19,TOB19,Y,
Annis Hag,,Large,Fey,,Chaotic Evil,"Hills, Mountain",6,2300,VGM,159,VGM159,,
Apau Perape,,Large,Fiend,demon,Chaotic Evil,Extraplanar (Abyss),6,2300,TOB,75,TOB75,Y,
Bodak,,Medium,Undead,,Chaotic Evil,"Swamp, Underdark, Urban",6,2300,VGM,127,VGM127,,
Chasme,,Large,Fiend,demon,Chaotic Evil,Extraplanar (Abyss),6,2300,MM,57,MM57,,
Chimera,,Large,Monstrosity,,Chaotic Evil,"Grassland, Hills, Mountain, Underdark",6,2300,MM,39,MM39,Y,"A creature combining the worst features of its three heads: lion, goat, and dragon."
Clockwork Myrmidon,,Large,Construct,,Unaligned,"Forest, Grassland, Urban",6,2300,TOB,64,TOB64,Y,
Corrupted Ogre Chieftain,,Large,Giant,,Chaotic Evil,"Hills, Underdark",6,2300,TOB,423,TOB423,Y,
Crystalline Devil,,Medium,Fiend,devil,Lawful Evil,"Extraplanar (Baator), Underdark, Urban",6,2300,TOB,105,TOB105,Y,
Cyclops,,Huge,Giant,,Chaotic Neutral,"Coastal, Desert, Grassland, Hills, Mountain, Underdark",6,2300,MM,45,MM45,,"Dull-witted, slightly mad isolationist giants with a single eye."
Drider,,Large,Monstrosity,,Chaotic Evil,Underdark,6,2300,MM,120,MM120,Y,
Fate Eater,,Medium,Aberration,,Neutral,Any,6,2300,TOB,180,TOB180,Y,
Fext,,Medium,Undead,,Any,Any,6,2300,TOB,183,TOB183,Y,
Galeb Duhr,,Medium,Elemental,,Neutral,"Hills, Mountain",6,2300,MM,139,MM139,,
Gauth,,Medium,Aberration,beholder,Lawful Evil,Underdark,6,2300,VGM,125,VGM125,,
Gbahali (Postosuchus),,Huge,Beast,,Unaligned,Grassland,6,2300,TOB,209,TOB209,Y,
Gearforged Templar,,Medium,Humanoid,gearforged,Lawful Neutral,Any,6,2300,TOB,210,TOB210,Y,
Ghost Knight,,Medium,Undead,,Lawful Evil,Any,6,2300,TOB,423,TOB423,Y,
Githzerai Zerth,,Medium,Humanoid,gith,Lawful Neutral,Extraplanar (Limbo),6,2300,MM,161,MM161,,
Gnarljak,,Small,Construct,,Unaligned,"Underdark, Urban",6,2300,TOB,229,TOB229,Y,
Greater Death Butterfly Swarm,,Huge,Beast,,Chaotic Evil,"Forest, Grassland",6,2300,TOB,71,TOB71,Y,
Hobgoblin Warlord,,Medium,Humanoid,goblinoid,Lawful Evil,Urban,6,2300,MM,187,MM187,,
Ice Maiden,,Medium,Fey,,Lawful Evil,Any,6,2300,TOB,254,TOB254,Y,
Invisible Stalker,,Medium,Elemental,,Neutral,,6,2300,MM,192,MM192,Y,
Juggernaut Amphoron of Yothri,,Large,Construct,,Neutral,Any,6,2300,FEF,10,FEF10,,
Kuo-toa Archpriest,,Medium,Humanoid,kuo-toa,Neutral Evil,Underdark,6,2300,MM,200,MM200,,
Likho,,Medium,Monstrosity,,Chaotic Evil,Forest,6,2300,TOB,275,TOB275,Y,
Loxoda,,Huge,Monstrosity,,Neutral Evil,"Forest, Grassland",6,2300,TOB,280,TOB280,Y,
Malphas (Storm Crow),,Medium,Fey,,Neutral Evil,Any,6,2300,TOB,283,TOB283,Y,
Mammoth,,Huge,Beast,,Unaligned,Arctic,6,2300,MM,332,MM332,,
Mamura,,Small,Aberration,fey,Neutral Evil,Underdark,6,2300,TOB,284,TOB284,Y,
Medusa,,Medium,Monstrosity,,Lawful Evil,Desert,6,2300,MM,214,MM214,Y,
Mirror Hag,,Medium,Fey,,Chaotic Neutral,Any,6,2300,TOB,243,TOB243,Y,
Mouth of Grolantor,,Huge,Giant,hill giant,Chaotic Evil,"Grassland, Hills",6,2300,VGM,149,VGM149,,
Nichny (Dolia),,Medium,Fey,,Neutral Evil,Any,6,2300,TOB,303,TOB303,Y,
Nightgarm,,Large,Monstrosity,,Chaotic Evil,Any,6,2300,TOB,304,TOB304,Y,
Redcap (TOB version),,Medium,Fey,,Neutral Evil,"Forest, Hills",6,2300,TOB,325,TOB325,Y,
Rotting Wind,,Large,Undead,,Neutral Evil,Any,6,2300,TOB,330,TOB330,Y,
Rusalka,,Medium,Undead,,Chaotic Evil,Underwater,6,2300,TOB,331,TOB331,Y,
Salt Devil,,Medium,Fiend,devil,Lawful Evil,Desert,6,2300,TOB,113,TOB113,Y,
Sand Silhouette,,Medium,Undead,,Neutral Evil,Desert,6,2300,TOB,332,TOB332,Y,
Sandwyrm,,Large,Dragon,,Unaligned,Desert,6,2300,TOB,334,TOB334,Y,
Scheznyki,,Small,Fey,,Chaotic Evil,"Hills, Underdark",6,2300,TOB,339,TOB339,Y,
Shadow Fey Duelist,,Medium,Humanoid,elf,Lawful Evil,Any,6,2300,TOB,171,TOB171,Y,
